Anno,Regione,Fonte,Copertura(GWh)
2020,Sicilia,Idrico tradizionale,287.28481
2020,Sicilia,Fotovoltaico,1877
2020,Sicilia,Saldo import/export,2660.426279
2020,Sicilia,Eolico,2742
2020,Sicilia,Termoelettrico tradizionale,10623.2
2020,Toscana,Idrico tradizionale,0.007388
2020,Toscana,Eolico,247.9
2020,Toscana,Idrico rinnovabile,659.592612
2020,Toscana,Bioenergie,659.6
2020,Toscana,Fotovoltaico,934
2020,Toscana,Saldo import/export,2546.534373
2020,Toscana,Geotermoelettrico,5646.9
2020,Toscana,Termoelettrico tradizionale,8520
2020,Trentino-Alto Adige,Saldo import/export,-7144.953393
2020,Trentino-Alto Adige,Eolico,0
2020,Trentino-Alto Adige,Geotermoelettrico,0
2020,Trentino-Alto Adige,Idrico tradizionale,54.185465
2020,Trentino-Alto Adige,Bioenergie,389
